"Posição","Nome","Localidade","2017-2018","Unidade","Multiplicador"
"2.1","Domicílios particulares permanentes","Paraná","3953","domicílios",1000
"2.1","Domicílios particulares permanentes","Santa Catarina","2524","domicílios",1000
"2.1","Domicílios particulares permanentes","Rio Grande do Sul","4148","domicílios",1000
"2.1","Domicílios particulares permanentes","Mato Grosso do Sul","899","domicílios",1000
"2.1","Domicílios particulares permanentes","Mato Grosso","1114","domicílios",1000
"2.1","Domicílios particulares permanentes","Goiás","2350","domicílios",1000
"2.1","Domicílios particulares permanentes","Distrito Federal","976","domicílios",1000
"2.1.1","Situação de segurança alimentar",,,"",""
"2.1.1.1","Com segurança alimentar","Rondônia","63.7","%",1
"2.1.1.1","Com segurança alimentar","Acre","41.3","%",1
"2.1.1.1","Com segurança alimentar","Amazonas","34.5","%",1
"2.1.1.1","Com segurança alimentar","Roraima","60.4","%",1
"2.1.1.1","Com segurança alimentar","Pará","38.8","%",1
"2.1.1.1","Com segurança alimentar","Amapá","40.6","%",1
"2.1.1.1","Com segurança alimentar","Tocantins","54.4","%",1
"2.1.1.1","Com segurança alimentar","Maranhão","33.8","%",1
"2.1.1.1","Com segurança alimentar","Piauí","54.0","%",1
"2.1.1.1","Com segurança alimentar","Ceará","53.1","%",1
"2.1.1.1","Com segurança alimentar","Rio Grande do Norte","45.3","%",1
"2.1.1.1","Com segurança alimentar","Paraíba","46.5","%",1
"2.1.1.1","Com segurança alimentar","Pernambuco","51.7","%",1
"2.1.1.1","Com segurança alimentar","Alagoas","43.3","%",1
"2.1.1.1","Com segurança alimentar","Sergipe","51.5","%",1
"2.1.1.1","Com segurança alimentar","Bahia","54.7","%",1
"2.1.1.1","Com segurança alimentar","Minas Gerais","68.8","%",1
"2.1.1.1","Com segurança alimentar","Espírito Santo","69.3","%",1
"2.1.1.1","Com segurança alimentar","Rio de Janeiro","67.8","%",1
"2.1.1.1","Com segurança alimentar","São Paulo","69.2","%",1
"2.1.1.1","Com segurança alimentar","Paraná","77.5","%",1
"2.1.1.1","Com segurança alimentar","Santa Catarina","86.9","%",1
"2.1.1.1","Com segurança alimentar","Rio Grande do Sul","76.5","%",1
"2.1.1.1","Com segurança alimentar","Mato Grosso do Sul","63.0","%",1
"2.1.1.1","Com segurança alimentar","Mato Grosso","66.6","%",1
"2.1.1.1","Com segurança alimentar","Goiás","63.6","%",1
"2.1.1.1","Com segurança alimentar","Distrito Federal","67.3","%",1
"2.1.1.2","Com insegurança alimentar leve","Rondônia","26.2","%",1
"2.1.1.2","Com insegurança alimentar leve","Acre","32.5","%",1
"2.1.1.2","Com insegurança alimentar leve","Amazonas","31.7","%",1
"2.1.1.2","Com insegurança alimentar leve","Roraima","23.6","%",1
"2.1.1.2","Com insegurança alimentar leve","Pará","34.1","%",1
"2.1.1.2","Com insegurança alimentar leve","Amapá","29.7","%",1
"2.1.1.2","Com insegurança alimentar leve","Tocantins","30.3","%",1
"2.1.1.2","Com insegurança alimentar leve","Maranhão","35.2","%",1
"2.1.1.2","Com insegurança alimentar leve","Piauí","28.9","%",1
"2.1.1.2","Com insegurança alimentar leve","Ceará","27.8","%",1
"2.1.1.2","Com insegurança alimentar leve","Rio Grande do Norte","33.5","%",1
"2.1.1.2","Com insegurança alimentar leve","Paraíba","33.9","%",1
"2.1.1.2","Com insegurança alimentar leve","Pernambuco","28.5","%",1
"2.1.1.2","Com insegurança alimentar leve","Alagoas","35.2","%",1
"2.1.1.2","Com insegurança alimentar leve","Sergipe","31.2","%",1
"2.1.1.2","Com insegurança alimentar leve","Bahia","26.5","%",1
"2.1.1.2","Com insegurança alimentar leve","Minas Gerais","21.8","%",1
"2.1.1.2","Com insegurança alimentar leve","Espírito Santo","21.1","%",1
"2.1.1.2","Com insegurança alimentar leve","Rio de Janeiro","21.9","%",1
"2.1.1.2","Com insegurança alimentar leve","São Paulo","23.2","%",1
"2.1.1.2","Com insegurança alimentar leve","Paraná","17.6","%",1
"2.1.1.2","Com insegurança alimentar leve","Santa Catarina","9.0","%",1
"2.1.1.2","Com insegurança alimentar leve","Rio Grande do Sul","16.8","%",1
"2.1.1.2","Com insegurança alimentar leve","Mato Grosso do Sul","25.8","%",1
"2.1.1.2","Com insegurança alimentar leve","Mato Grosso","22.3","%",1
"2.1.1.2","Com insegurança alimentar leve","Goiás","23.6","%",1
"2.1.1.2","Com insegurança alimentar leve","Distrito Federal","21.2","%",1
"2.1.1.3","Com insegurança alimentar moderada","Rondônia","6.7","%",1
"2.1.1.3","Com insegurança alimentar moderada","Acre","13.8","%",1
"2.1.1.3","Com insegurança alimentar moderada","Amazonas","19.6","%",1
"2.1.1.3","Com insegurança alimentar moderada","Roraima","6.7","%",1
"2.1.1.3","Com insegurança alimentar moderada","Pará","16.1","%",1
"2.1.1.3","Com insegurança alimentar moderada","Amapá","19.1","%",1
"2.1.1.3","Com insegurança alimentar moderada","Tocantins","10.6","%",1
"2.1.1.3","Com insegurança alimentar moderada","Maranhão","18.6","%",1
"2.1.1.3","Com insegurança alimentar moderada","Piauí","11.0","%",1
"2.1.1.3","Com insegurança alimentar moderada","Ceará","12.9","%",1
"2.1.1.3","Com insegurança alimentar moderada","Rio Grande do Norte","13.6","%",1
"2.1.1.3","Com insegurança alimentar moderada","Paraíba","13.2","%",1
"2.1.1.3","Com insegurança alimentar moderada","Pernambuco","13.0","%",1
"2.1.1.3","Com insegurança alimentar moderada","Alagoas","13.8","%",1
"2.1.1.3","Com insegurança alimentar moderada","Sergipe","11.9","%",1
"2.1.1.3","Com insegurança alimentar moderada","Bahia","12.5","%",1
"2.1.1.3","Com insegurança alimentar moderada","Minas Gerais","6.1","%",1
"2.1.1.3","Com insegurança alimentar moderada","Espírito Santo","6.2","%",1
"2.1.1.3","Com insegurança alimentar moderada","Rio de Janeiro","6.8","%",1
"2.1.1.3","Com insegurança alimentar moderada","São Paulo","5.2","%",1
"2.1.1.3","Com insegurança alimentar moderada","Paraná","2.7","%",1
"2.1.1.3","Com insegurança alimentar moderada","Santa Catarina","2.1","%",1
"2.1.1.3","Com insegurança alimentar moderada","Rio Grande do Sul","4.3","%",1
"2.1.1.3","Com insegurança alimentar moderada","Mato Grosso do Sul","6.7","%",1
"2.1.1.3","Com insegurança alimentar moderada","Mato Grosso","7.1","%",1
"2.1.1.3","Com insegurança alimentar moderada","Goiás","7.8","%",1
"2.1.1.3","Com insegurança alimentar moderada","Distrito Federal","6.6","%",1
"2.1.1.4","Com insegurança alimentar grave","Rondônia","3.4","%",1
"2.1.1.4","Com insegurança alimentar grave","Acre","12.4","%",1
"2.1.1.4","Com insegurança alimentar grave","Amazonas","14.2","%",1
"2.1.1.4","Com insegurança alimentar grave","Roraima","9.2","%",1
"2.1.1.4","Com insegurança alimentar grave","Pará","11.0","%",1
"2.1.1.4","Com insegurança alimentar grave","Amapá","10.6","%",1
"2.1.1.4","Com insegurança alimentar grave","Tocantins","4.7","%",1
"2.1.1.4","Com insegurança alimentar grave","Maranhão","12.3","%",1
"2.1.1.4","Com insegurança alimentar grave","Piauí","6.1","%",1
"2.1.1.4","Com insegurança alimentar grave","Ceará","6.2","%",1
"2.1.1.4","Com insegurança alimentar grave","Rio Grande do Norte","7.6","%",1
"2.1.1.4","Com insegurança alimentar grave","Paraíba","6.3","%",1
"2.1.1.4","Com insegurança alimentar grave","Pernambuco","6.8","%",1
"2.1.1.4","Com insegurança alimentar grave","Alagoas","7.7","%",1
"2.1.1.4","Com insegurança alimentar grave","Sergipe","5.4","%",1
"2.1.1.4","Com insegurança alimentar grave","Bahia","6.3","%",1
"2.1.1.4","Com insegurança alimentar grave","Minas Gerais","3.3","%",1
"2.1.1.4","Com insegurança alimentar grave","Espírito Santo","3.4","%",1
"2.1.1.4","Com insegurança alimentar grave","Rio de Janeiro","3.4","%",1
"2.1.1.4","Com insegurança alimentar grave","São Paulo","2.4","%",1
"2.1.1.4","Com insegurança alimentar grave","Paraná","2.2","%",1
"2.1.1.4","Com insegurança alimentar grave","Santa Catarina","2.0","%",1
"2.1.1.4","Com insegurança alimentar grave","Rio Grande do Sul","2.4","%",1
"2.1.1.4","Com insegurança alimentar grave","Mato Grosso do Sul","4.5","%",1
"2.1.1.4","Com insegurança alimentar grave","Mato Grosso","4.0","%",1
"2.1.1.4","Com insegurança alimentar grave","Goiás","5.0","%",1
"2.1.1.4","Com insegurança alimentar grave","Distrito Federal","5.0","%",1
"3","Antropometria e estado nutricional de crianças, adolescentes e adultos",,,"",""
"3.1","População",,,"",""
"3.1.1","Idade e Grupos de idade",,,"",""
"3.1.1.1","Menos de 1 ano",,,"",""
"3.1.1.1.1","Sexo",,,"",""
"3.1.1.1.1.1","Masculino",,,"pessoas",1
"3.1.1.1.1.1.1","Mediana",,,"",""
"3.1.1.1.1.1.1.1","Altura",,,"cm",1
"3.1.1.1.1.1.1.2","Peso",,,"kg",1
"3.1.1.1.1.2","Feminino",,,"pessoas",1
"3.1.1.1.1.2.1","Mediana",,,"",""
"3.1.1.1.1.2.1.1","Altura",,,"cm",1
"3.1.1.1.1.2.1.2","Peso",,,"kg",1
"3.1.1.2","1 ano",,,"",""
"3.1.1.2.1","Sexo",,,"",""
"3.1.1.2.1.1","Masculino",,,"pessoas",1
"3.1.1.2.1.1.1","Mediana",,,"",""
"3.1.1.2.1.1.1.1","Altura",,,"cm",1
"3.1.1.2.1.1.1.2","Peso",,,"kg",1
"3.1.1.2.1.2","Feminino",,,"pessoas",1
"3.1.1.2.1.2.1","Mediana",,,"",""
"3.1.1.2.1.2.1.1","Altura",,,"cm",1
"3.1.1.2.1.2.1.2","Peso",,,"kg",1
"3.1.1.3","2 anos",,,"",""
"3.1.1.3.1","Sexo",,,"",""
"3.1.1.3.1.1","Masculino",,,"pessoas",1
"3.1.1.3.1.1.1","Mediana",,,"",""
"3.1.1.3.1.1.1.1","Altura",,,"cm",1
"3.1.1.3.1.1.1.2","Peso",,,"kg",1
"3.1.1.3.1.2","Feminino",,,"pessoas",1
"3.1.1.3.1.2.1","Mediana",,,"",""
"3.1.1.3.1.2.1.1","Altura",,,"cm",1
"3.1.1.3.1.2.1.2","Peso",,,"kg",1
"3.1.1.4","3 anos",,,"",""
"3.1.1.4.1","Sexo",,,"",""
"3.1.1.4.1.1","Masculino",,,"pessoas",1
"3.1.1.4.1.1.1","Mediana",,,"",""
"3.1.1.4.1.1.1.1","Altura",,,"cm",1
"3.1.1.4.1.1.1.2","Peso",,,"kg",1
"3.1.1.4.1.2","Feminino",,,"pessoas",1
"3.1.1.4.1.2.1","Mediana",,,"",""
"3.1.1.4.1.2.1.1","Altura",,,"cm",1
"3.1.1.4.1.2.1.2","Peso",,,"kg",1
"3.1.1.5","4 anos",,,"",""
"3.1.1.5.1","Sexo",,,"",""
"3.1.1.5.1.1","Masculino",,,"pessoas",1
"3.1.1.5.1.1.1","Mediana",,,"",""
"3.1.1.5.1.1.1.1","Altura",,,"cm",1
"3.1.1.5.1.1.1.2","Peso",,,"kg",1
"3.1.1.5.1.2","Feminino",,,"pessoas",1
"3.1.1.5.1.2.1","Mediana",,,"",""
"3.1.1.5.1.2.1.1","Altura",,,"cm",1
"3.1.1.5.1.2.1.2","Peso",,,"kg",1
"3.1.1.6","5 anos",,,"",""
"3.1.1.6.1","Sexo",,,"",""
"3.1.1.6.1.1","Masculino",,,"pessoas",1
"3.1.1.6.1.1.1","Mediana",,,"",""
"3.1.1.6.1.1.1.1","Altura",,,"cm",1
"3.1.1.6.1.1.1.2","Peso",,,"kg",1
"3.1.1.6.1.2","Feminino",,,"pessoas",1
"3.1.1.6.1.2.1","Mediana",,,"",""
"3.1.1.6.1.2.1.1","Altura",,,"cm",1
"3.1.1.6.1.2.1.2","Peso",,,"kg",1
"3.1.1.7","6 anos",,,"",""
"3.1.1.7.1","Sexo",,,"",""
"3.1.1.7.1.1","Masculino",,,"pessoas",1
"3.1.1.7.1.1.1","Mediana",,,"",""
"3.1.1.7.1.1.1.1","Altura",,,"cm",1
"3.1.1.7.1.1.1.2","Peso",,,"kg",1
"3.1.1.7.1.2","Feminino",,,"pessoas",1
"3.1.1.7.1.2.1","Mediana",,,"",""
"3.1.1.7.1.2.1.1","Altura",,,"cm",1
"3.1.1.7.1.2.1.2","Peso",,,"kg",1
"3.1.1.8","7 anos",,,"",""
"3.1.1.8.1","Sexo",,,"",""
"3.1.1.8.1.1","Masculino",,,"pessoas",1
"3.1.1.8.1.1.1","Mediana",,,"",""
"3.1.1.8.1.1.1.1","Altura",,,"cm",1
"3.1.1.8.1.1.1.2","Peso",,,"kg",1
"3.1.1.8.1.2","Feminino",,,"pessoas",1
"3.1.1.8.1.2.1","Mediana",,,"",""
"3.1.1.8.1.2.1.1","Altura",,,"cm",1
"3.1.1.8.1.2.1.2","Peso",,,"kg",1
"3.1.1.9","8 anos",,,"",""
"3.1.1.9.1","Sexo",,,"",""
"3.1.1.9.1.1","Masculino",,,"pessoas",1
"3.1.1.9.1.1.1","Mediana",,,"",""
"3.1.1.9.1.1.1.1","Altura",,,"cm",1
"3.1.1.9.1.1.1.2","Peso",,,"kg",1
"3.1.1.9.1.2","Feminino",,,"pessoas",1
"3.1.1.9.1.2.1","Mediana",,,"",""
"3.1.1.9.1.2.1.1","Altura",,,"cm",1
"3.1.1.9.1.2.1.2","Peso",,,"kg",1
"3.1.1.10","9 anos",,,"",""
"3.1.1.10.1","Sexo",,,"",""
"3.1.1.10.1.1","Masculino",,,"pessoas",1
"3.1.1.10.1.1.1","Mediana",,,"",""
"3.1.1.10.1.1.1.1","Altura",,,"cm",1
"3.1.1.10.1.1.1.2","Peso",,,"kg",1
"3.1.1.10.1.2","Feminino",,,"pessoas",1
"3.1.1.10.1.2.1","Mediana",,,"",""
"3.1.1.10.1.2.1.1","Altura",,,"cm",1
"3.1.1.10.1.2.1.2","Peso",,,"kg",1
"3.1.1.11","10 anos",,,"",""
"3.1.1.11.1","Sexo",,,"",""
"3.1.1.11.1.1","Masculino",,,"pessoas",1
"3.1.1.11.1.1.1","Mediana",,,"",""
"3.1.1.11.1.1.1.1","Altura",,,"cm",1
"3.1.1.11.1.1.1.2","Peso",,,"kg",1
"3.1.1.11.1.2","Feminino",,,"pessoas",1
"3.1.1.11.1.2.1","Mediana",,,"",""
"3.1.1.11.1.2.1.1","Altura",,,"cm",1
"3.1.1.11.1.2.1.2","Peso",,,"kg",1
"3.1.1.12","11 anos",,,"",""
"3.1.1.12.1","Sexo",,,"",""
"3.1.1.12.1.1","Masculino",,,"pessoas",1
"3.1.1.12.1.1.1","Mediana",,,"",""
"3.1.1.12.1.1.1.1","Altura",,,"cm",1
"3.1.1.12.1.1.1.2","Peso",,,"kg",1
"3.1.1.12.1.2","Feminino",,,"pessoas",1
"3.1.1.12.1.2.1","Mediana",,,"",""
"3.1.1.12.1.2.1.1","Altura",,,"cm",1
"3.1.1.12.1.2.1.2","Peso",,,"kg",1
"3.1.1.13","12 anos",,,"",""
"3.1.1.13.1","Sexo",,,"",""
"3.1.1.13.1.1","Masculino",,,"pessoas",1
"3.1.1.13.1.1.1","Mediana",,,"",""
"3.1.1.13.1.1.1.1","Altura",,,"cm",1
"3.1.1.13.1.1.1.2","Peso",,,"kg",1
"3.1.1.13.1.2","Feminino",,,"pessoas",1
"3.1.1.13.1.2.1","Mediana",,,"",""
"3.1.1.13.1.2.1.1","Altura",,,"cm",1
"3.1.1.13.1.2.1.2","Peso",,,"kg",1
"3.1.1.14","13 anos",,,"",""
"3.1.1.14.1","Sexo",,,"",""
"3.1.1.14.1.1","Masculino",,,"pessoas",1
"3.1.1.14.1.1.1","Mediana",,,"",""
"3.1.1.14.1.1.1.1","Altura",,,"cm",1
"3.1.1.14.1.1.1.2","Peso",,,"kg",1
"3.1.1.14.1.2","Feminino",,,"pessoas",1
"3.1.1.14.1.2.1","Mediana",,,"",""
"3.1.1.14.1.2.1.1","Altura",,,"cm",1
"3.1.1.14.1.2.1.2","Peso",,,"kg",1
"3.1.1.15","14 anos",,,"",""
"3.1.1.15.1","Sexo",,,"",""
"3.1.1.15.1.1","Masculino",,,"pessoas",1
"3.1.1.15.1.1.1","Mediana",,,"",""
"3.1.1.15.1.1.1.1","Altura",,,"cm",1
"3.1.1.15.1.1.1.2","Peso",,,"kg",1
"3.1.1.15.1.2","Feminino",,,"pessoas",1
"3.1.1.15.1.2.1","Mediana",,,"",""
"3.1.1.15.1.2.1.1","Altura",,,"cm",1
"3.1.1.15.1.2.1.2","Peso",,,"kg",1
"3.1.1.16","15 anos",,,"",""
"3.1.1.16.1","Sexo",,,"",""
"3.1.1.16.1.1","Masculino",,,"pessoas",1
"3.1.1.16.1.1.1","Mediana",,,"",""
"3.1.1.16.1.1.1.1","Altura",,,"cm",1
"3.1.1.16.1.1.1.2","Peso",,,"kg",1
"3.1.1.16.1.2","Feminino",,,"pessoas",1
"3.1.1.16.1.2.1","Mediana",,,"",""
"3.1.1.16.1.2.1.1","Altura",,,"cm",1
"3.1.1.16.1.2.1.2","Peso",,,"kg",1
"3.1.1.17","16 anos",,,"",""
"3.1.1.17.1","Sexo",,,"",""
"3.1.1.17.1.1","Masculino",,,"pessoas",1
"3.1.1.17.1.1.1","Mediana",,,"",""
"3.1.1.17.1.1.1.1","Altura",,,"cm",1
"3.1.1.17.1.1.1.2","Peso",,,"kg",1
"3.1.1.17.1.2","Feminino",,,"pessoas",1
"3.1.1.17.1.2.1","Mediana",,,"",""
"3.1.1.17.1.2.1.1","Altura",,,"cm",1
"3.1.1.17.1.2.1.2","Peso",,,"kg",1
"3.1.1.18","17 anos",,,"",""
"3.1.1.18.1","Sexo",,,"",""
"3.1.1.18.1.1","Masculino",,,"pessoas",1
"3.1.1.18.1.1.1","Mediana",,,"",""
"3.1.1.18.1.1.1.1","Altura",,,"cm",1
"3.1.1.18.1.1.1.2","Peso",,,"kg",1
"3.1.1.18.1.2","Feminino",,,"pessoas",1
"3.1.1.18.1.2.1","Mediana",,,"",""
"3.1.1.18.1.2.1.1","Altura",,,"cm",1
"3.1.1.18.1.2.1.2","Peso",,,"kg",1
"3.1.1.19","18 anos",,,"",""
"3.1.1.19.1","Sexo",,,"",""
"3.1.1.19.1.1","Masculino",,,"pessoas",1
"3.1.1.19.1.1.1","Mediana",,,"",""
"3.1.1.19.1.1.1.1","Altura",,,"cm",1
"3.1.1.19.1.1.1.2","Peso",,,"kg",1
"3.1.1.19.1.2","Feminino",,,"pessoas",1
"3.1.1.19.1.2.1","Mediana",,,"",""
"3.1.1.19.1.2.1.1","Altura",,,"cm",1
"3.1.1.19.1.2.1.2","Peso",,,"kg",1
"3.1.1.20","19 anos",,,"",""
"3.1.1.20.1","Sexo",,,"",""
"3.1.1.20.1.1","Masculino",,,"pessoas",1
"3.1.1.20.1.1.1","Mediana",,,"",""
"3.1.1.20.1.1.1.1","Altura",,,"cm",1
"3.1.1.20.1.1.1.2","Peso",,,"kg",1
"3.1.1.20.1.2","Feminino",,,"pessoas",1
"3.1.1.20.1.2.1","Mediana",,,"",""
"3.1.1.20.1.2.1.1","Altura",,,"cm",1
"3.1.1.20.1.2.1.2","Peso",,,"kg",1
"3.1.1.21","20 a 24 anos",,,"",""
"3.1.1.21.1","Sexo",,,"",""
"3.1.1.21.1.1","Masculino",,,"pessoas",1
"3.1.1.21.1.1.1","Mediana",,,"",""
"3.1.1.21.1.1.1.1","Altura",,,"cm",1
"3.1.1.21.1.1.1.2","Peso",,,"kg",1
"3.1.1.21.1.2","Feminino",,,"pessoas",1
"3.1.1.21.1.2.1","Mediana",,,"",""
"3.1.1.21.1.2.1.1","Altura",,,"cm",1
"3.1.1.21.1.2.1.2","Peso",,,"kg",1
"3.1.1.22","25 a 29 anos",,,"",""
"3.1.1.22.1","Sexo",,,"",""
"3.1.1.22.1.1","Masculino",,,"pessoas",1
"3.1.1.22.1.1.1","Mediana",,,"",""
"3.1.1.22.1.1.1.1","Altura",,,"cm",1
"3.1.1.22.1.1.1.2","Peso",,,"kg",1
"3.1.1.22.1.2","Feminino",,,"pessoas",1
"3.1.1.22.1.2.1","Mediana",,,"",""
"3.1.1.22.1.2.1.1","Altura",,,"cm",1
"3.1.1.22.1.2.1.2","Peso",,,"kg",1
"3.1.1.23","30 a 34 anos",,,"",""
"3.1.1.23.1","Sexo",,,"",""
"3.1.1.23.1.1","Masculino",,,"pessoas",1
"3.1.1.23.1.1.1","Mediana",,,"",""
"3.1.1.23.1.1.1.1","Altura",,,"cm",1
"3.1.1.23.1.1.1.2","Peso",,,"kg",1
"3.1.1.23.1.2","Feminino",,,"pessoas",1
"3.1.1.23.1.2.1","Mediana",,,"",""
"3.1.1.23.1.2.1.1","Altura",,,"cm",1
"3.1.1.23.1.2.1.2","Peso",,,"kg",1
"3.1.1.24","35 a 44 anos",,,"",""
"3.1.1.24.1","Sexo",,,"",""
"3.1.1.24.1.1","Masculino",,,"pessoas",1
"3.1.1.24.1.1.1","Mediana",,,"",""
"3.1.1.24.1.1.1.1","Altura",,,"cm",1
"3.1.1.24.1.1.1.2","Peso",,,"kg",1
"3.1.1.24.1.2","Feminino",,,"pessoas",1
"3.1.1.24.1.2.1","Mediana",,,"",""
"3.1.1.24.1.2.1.1","Altura",,,"cm",1
"3.1.1.24.1.2.1.2","Peso",,,"kg",1
"3.1.1.25","45 a 54 anos",,,"",""
"3.1.1.25.1","Sexo",,,"",""
"3.1.1.25.1.1","Masculino",,,"pessoas",1
"3.1.1.25.1.1.1","Mediana",,,"",""
"3.1.1.25.1.1.1.1","Altura",,,"cm",1
"3.1.1.25.1.1.1.2","Peso",,,"kg",1
"3.1.1.25.1.2","Feminino",,,"pessoas",1
"3.1.1.25.1.2.1","Mediana",,,"",""
"3.1.1.25.1.2.1.1","Altura",,,"cm",1
"3.1.1.25.1.2.1.2","Peso",,,"kg",1
"3.1.1.26","55 a 64 anos",,,"",""
"3.1.1.26.1","Sexo",,,"",""
"3.1.1.26.1.1","Masculino",,,"pessoas",1
"3.1.1.26.1.1.1","Mediana",,,"",""
"3.1.1.26.1.1.1.1","Altura",,,"cm",1
"3.1.1.26.1.1.1.2","Peso",,,"kg",1
"3.1.1.26.1.2","Feminino",,,"pessoas",1
"3.1.1.26.1.2.1","Mediana",,,"",""
"3.1.1.26.1.2.1.1","Altura",,,"cm",1
"3.1.1.26.1.2.1.2","Peso",,,"kg",1
"3.1.1.27","65 a 74 anos",,,"",""
"3.1.1.27.1","Sexo",,,"",""
"3.1.1.27.1.1","Masculino",,,"pessoas",1
"3.1.1.27.1.1.1","Mediana",,,"",""
"3.1.1.27.1.1.1.1","Altura",,,"cm",1
"3.1.1.27.1.1.1.2","Peso",,,"kg",1
"3.1.1.27.1.2","Feminino",,,"pessoas",1
"3.1.1.27.1.2.1","Mediana",,,"",""
"3.1.1.27.1.2.1.1","Altura",,,"cm",1
"3.1.1.27.1.2.1.2","Peso",,,"kg",1
"3.1.1.28","75 anos ou mais",,,"",""
"3.1.1.28.1","Sexo",,,"",""
"3.1.1.28.1.1","Masculino",,,"pessoas",1
"3.1.1.28.1.1.1","Mediana",,,"",""
"3.1.1.28.1.1.1.1","Altura",,,"cm",1
"3.1.1.28.1.1.1.2","Peso",,,"kg",1
"3.1.1.28.1.2","Feminino",,,"pessoas",1
"3.1.1.28.1.2.1","Mediana",,,"",""
"3.1.1.28.1.2.1.1","Altura",,,"cm",1
"3.1.1.28.1.2.1.2","Peso",,,"kg",1
"4","Aquisição alimentar domiciliar per capita anual",,,"",""
"4.1","Grupos e subgrupos de produtos",,,"",""
"4.1.1","Açúcares, doces e produtos de confeitaria","Rondônia","13.190","kg/ano per capita",1
"4.1.1","Açúcares, doces e produtos de confeitaria","Acre","12.593","kg/ano per capita",1
"4.1.1","Açúcares, doces e produtos de confeitaria","Amazonas","11.815","kg/ano per capita",1
"4.1.1","Açúcares, doces e produtos de confeitaria","Roraima","15.401","kg/ano per capita",1
"4.1.1","Açúcares, doces e produtos de confeitaria","Pará","12.669","kg/ano per capita",1
"4.1.1","Açúcares, doces e produtos de confeitaria","Amapá","15.193","kg/ano per capita",1
"4.1.1","Açúcares, doces e produtos de confeitaria","Tocantins","6.344","kg/ano per capita",1
